Parcel_name,plant_biomass,plant_CN,plant_PK_PC
Farm_A_1,4.736,24.804673457159975,-1.0590348062543504
Farm_A_2,10.746,25.2145390070922,-5.856160984279029
Farm_A_3,16.146,20.18102189781022,0.7878204347141429
Farm_A_4,35.866,32.97241922773838,1.0263129624106497
Farm_A_5,41.406,26.70352069178505,0.9723403908746574
Farm_A_6,25.966,26.98176291793313,-1.604804917812461
Farm_A_7,21.356,0,0.8812303123992231
Farm_A_8,25.026,25.705562273276907,1.3528497851747994
Communal_1,11.656,29.038025350233486,0.5177552792200245
Farm_A_10,15.626,24.262184873949582,0.873721078017895
Farm_A_13,23.116,21.771398747390396,-2.345826810911542
Farm_B_1,14.906,20.58817829457364,-0.6270678679784374
Farm_B_2,16.686,29.89484827099506,0.2868112222444503
Farm_B_3,21.056,22.10922205048944,-0.4635106110903408
Farm_B_4,19.806,25.978260869565222,-0.850801851855969
Farm_B_5,17.616,22.196300102774924,0.07561904977359699
Farm_B_6,21.646,23.873544093178037,-0.623782516811454
Farm_B_7,14.216,18.894908921064925,-1.2601898367629605
Communal_2,10.256,24.42161254199328,0.4704182378920593
Farm_C_1,29.246,21.53614457831325,-0.77710707332108
Farm_C_3,29.126,37.660034602076124,0.437794386561028
Farm_C_6,32.086,25.357869539198084,-0.9492171119635573
Farm_C_8,24.636,35.326845093268446,0.654658842223792
Farm_C_9,27.706,43.22916666666667,-0.8074813792273521
Farm_C_10,17.846,16.86066584463625,-0.7556123405930742
Farm_D_1,28.126,25.517688679245282,0.7136524425480404
Communal_3,5.396,35.69854132901135,1.2081845267982614
Farm_D_3,14.956,29.012278308321964,0.16526604730496433
Farm_D_4,4.526,24.91551939924906,0.8335187596366944
Farm_D_5,14.606,26.426489226869453,1.1193617682142247
Farm_D_6,10.646,29.77614035087719,1.0269754780074338
Communal_4,7.756,37.985494106980966,0.997638653396819
Farm_D_8,25.776,21.78370221327968,1.5713890024930421
Communal_5,2.366,31.740129217516152,1.9924687847553164
Farm_D_10,5.376,27.33921568627451,0.6780861202651807
Farm_E_1,55.786,27.157520981278246,-0.4990152120180511
Farm_E_2,33.176,26.261006289308177,-0.5900566964265819
Farm_E_3,31.526,26.483322844556326,1.08265623055687
Farm_E_4,20.446,27.018227529855437,0.619106004011079
Farm_E_5,84.326,21.85867237687366,0.8615005658736054
Farm_E_6,15.266,28.242848061029882,-0.8538565073482198
Farm_E_7,44.716,24.770207852193995,-0.08119358734369031
Farm_F_1,41.506,29.33972602739726,-0.5811327678551241
Farm_F_2,35.106,31.02586206896552,-0.6212834855145681
