Parcel_name,NMDS1_field,NMDS2_field,NMDS1_exper,NMDS2_exper
Farm_B_2,-0.28474425515913476,-0.3559472490244919,-0.22101327123714967,-0.4406285189918636
Farm_B_3,-0.26097919351490056,-0.27803000579105747,NA,NA
Farm_A_1,-0.9226952209306414,-0.2945574241697185,0.20993423426800759,-0.011595811100570143
Farm_A_2,-0.42308729355595986,-0.1975340655011843,-0.4960206499580159,-0.06866962534020439
Farm_A_3,-0.043328354050311386,-0.10229275995357352,NA,NA
Farm_A_4,-0.7569430094729205,0.38557200775871914,NA,NA
Farm_A_5,-0.6730653681293645,0.8059681778905274,-0.997132956643138,0.23967708800281284
Farm_A_6,0.19918748888754412,0.3338782161334321,NA,NA
Farm_A_7,0.3982296182291808,0.2730425443035238,NA,NA
Farm_A_8,0.013099097233096097,-0.21302987958211292,NA,NA
Communal_1,0.4302010324350589,-0.4782951914493143,0.716696879769101,-0.121139440573248
Farm_A_10,0.22559436425690677,0.14732600028168907,NA,NA
Farm_A_13,-0.22157098722463242,0.2962913072775079,NA,NA
Farm_B_1,-0.14565998276782655,-0.011508662654116878,0.02598100598919415,-0.4680430888049173
Farm_B_4,-0.17244680250851674,-0.47283557694052164,0.2796931881875349,0.6076919876886795
Farm_B_5,0.1381316658963143,-0.2452003949388236,0.07952866522918081,-0.3629201589450759
Farm_B_6,-0.019148976430838037,0.19023960226021638,0.03517345050813329,-0.1777198133118249
Farm_B_7,-0.09489993167056372,-0.1590690636787811,-0.5701342086790516,0.6828058072092204
Communal_2,1.0439797801922255,-0.19266391833630053,0.9827115400362813,0.1767371686080137
Farm_C_1,0.17662537920172336,0.5408953113042962,0.4807169460992601,-0.6602725057142694
Farm_C_3,-0.2378816373967968,-0.4961645768648336,-0.3688836734192342,-0.16994619422188048
Farm_C_6,-0.2623563649733716,-0.39005487319480286,NA,NA
Farm_C_8,-0.08663698774901858,0.4789433927743854,-0.292745510023106,-0.1520075964416665
Farm_C_9,0.28799208652615127,0.49123939207619133,NA,NA
Farm_C_10,0.16000180527064095,0.4415793438642825,0.4665137266835136,0.46675972015302397
Farm_D_1,0.430015340226649,-0.17215220763537464,NA,NA
Communal_3,0.5859936308883864,-0.09218287901246412,-0.21494336879290382,0.6589201904735831
Farm_D_3,0.05549042478700093,0.353819003187107,0.07855573404063103,-0.15879648106324384
Farm_D_4,-0.2774703071500551,-0.14070265666386994,-0.2579362350084113,-0.04826052342094272
Farm_D_5,0.021186710336889125,0.1357182026171293,0.21930032774187957,0.19350101942795064
Farm_D_6,0.46870686684911156,0.23331795276796494,NA,NA
Farm_D_8,0.41191334957471837,-0.08322475692101798,NA,NA
Communal_5,0.822422598764096,0.3458269129207886,0.5572144672500742,0.09557966983548108
Farm_D_10,0.011483697766892299,-0.3548196004146603,-0.23607647382731275,0.40125569398637106
Farm_E_1,-0.8583339396587141,0.532139369742602,0.24825491885185463,-0.4588210146405894
Farm_E_2,-0.3328206116995258,0.36586285147578185,-1.2769140981599187,-0.5291056890695554
Farm_E_3,0.21249824626071964,-0.23431579441689618,NA,NA
Farm_E_4,0.19972105509316207,-0.6889951736889692,NA,NA
Farm_E_5,-0.7033102009238074,0.16346519700478648,0.18638757547659354,-0.43310220069680777
Farm_E_6,0.49136908922757766,-0.14122996166483293,0.35523107252161673,0.48713812347145674
Farm_E_7,0.19990210650570847,0.03174557376288707,NA,NA
Farm_F_1,-1.1970383562693903,-0.33901780180593233,-0.4181560584509102,0.22288045446419746
Farm_F_2,-0.2006716194451025,-0.5470007713542006,0.6358995848422543,-0.15660742296601216
Communal_4,1.191343966271639,0.1339548862540326,-0.20783681329595807,0.1846891619818813
