Parcel_name,CoverVP_field,SR_VP_field,EvennessVP_field,ShannonVP_field,abundance_Exper,SR_Exper,Evenness_Exper,Shannon_Exper,NMDS1_VP_field,NMDS2_VP_field,NMDS1_exper,NMDS2_exper
Sabina_3,86.46,51,7.248717833847557,2.9051079427000177,22,5,2.016666666666667,1.0318204422829809,-0.2199478968507165,-0.5050892148810725,0.13197920248395179,-0.2762762938395479
Sabina_6,157.12,48,7.764795772365969,2.69741937903854,NA,NA,NA,NA,-0.2684924328505744,-0.3907622514322357,NA,NA
Sabina_8,77.671,56,15.378664992418317,3.1425424938520194,10,3,2.173913043478261,0.8979457248567798,-0.10480826206077914,0.4741540462751007,-0.03451446287288004,-0.3487528405090255
Sabina_9,124.712,50,10.542103711512286,2.966016184667236,NA,NA,NA,NA,0.2770245969769867,0.5021161549351674,NA,NA
Viorel_1,125.561,47,12.746127028739544,2.9626048707396375,21,7,3.528,1.5681501032915655,-0.9184942954313466,-0.28690500357932575,-0.3503198524560966,-0.26711386289908207
Viorel_10,104.76,72,12.105952439297566,3.247368197949214,NA,NA,NA,NA,0.2322581350052264,0.13574284490106314,NA,NA
Viorel_13,111.273,64,6.284428913111753,2.783945156904625,NA,NA,NA,NA,-0.2344526712774162,0.2669954269678342,NA,NA
Viorel_2,99.406,82,10.57992063792515,2.93200396642157,18,3,1.7419354838709677,0.7298429194806347,-0.41187198645542306,-0.20714514255816383,0.14559151482247001,-0.4323567753785345
Viorel_3,109.011,66,7.648197355466301,2.884619265971151,NA,NA,NA,NA,-0.04772469347857434,-0.10265658001603464,NA,NA
Viorel_4,108.126,63,18.218439554328494,3.330018752669464,NA,NA,NA,NA,-0.7783246445488535,0.3832552915792939,NA,NA
Viorel_5,146.812,43,7.34291797672765,2.415468990976931,8,5,4,1.4941751382893083,-0.6906173003389016,0.7917024997769587,0.8878760185847451,-0.09327512242922037
Viorel_6,126.451,63,12.008809716189146,2.995621992743836,NA,NA,NA,NA,0.19192113184984352,0.3512360166452254,NA,NA
Viorel_7,104.502,49,5.488586495496983,2.390247150349951,NA,NA,NA,NA,0.39101578904022216,0.27494031271304203,NA,NA
Viorel_8,154.45,74,15.411069703769718,3.350974060583347,NA,NA,NA,NA,0.017753074551932486,-0.21267217360415802,NA,NA
Viorel_9,106.813,40,3.810836795108551,2.0604749773858457,5,2,1.923076923076923,0.6730116670092565,0.41251453109885217,-0.4752916265261159,-0.3514339533766735,0.49101193783186337
