species,abbreviation,parcel_number,fraction
Dichoropetalum carvifolia,Dich.car,3,7
Euphrasia stricta,Euph.str,3,7
Jacobaea vulgaris,Jaco.vul,3,7
Molinia caerulea,Moli.cae,3,7
Ononis spinosa subsp. hircina,Onon.spi,3,7
Plantago major,Plan.maj,3,7
Trifolium alpestre,Trif.alp,3,7
Viola tricolor,Viol.tri,3,7
Acer pseudoplatanus,Acer.pse,2,5
Alchemilla acutiloba,Alch.acu,2,5
Anacamptis pyramidalis,Anac.pyr,2,5
Bellis perennis,Bell.per,2,5
Bothriochloa ischaemum,Both.isc,2,5
Carex michelii,Care.mic,2,5
Carex spicata,Care.spi,2,5
Cirsium arvense,Cirs.arv,2,5
Cirsium vulgare,Cirs.vul,2,5
Euphorbia salicifolia,Euph.sal,2,5
Fragaria vesca,Frag.ves,2,5
Gentiana cruciata,Gent.cru,2,5
Lysimachia nummularia,Lysi.num,2,5
Lysimachia vulgaris,Lysi.vul,2,5
Minuartia verna,Minu.ver,2,5
Oxalis stricta,Oxal.str,2,5
Platanthera bifolia,Plat.bif,2,5
Prunella x intermedia,Prun.x,2,5
Rorippa pyrenaica,Rori.pyr,2,5
Rumex acetosella,Rume.ace,2,5
Rumex conglomeratus,Rume.con,2,5
Rumex obtusifolius,Rume.obt,2,5
Veronica serpyllifolia,Vero.ser,2,5
Allium carinatum,Alli.car,1,2
Allium oleraceum,Alli.ole,1,2
Antennaria dioica,Ante.dio,1,2
Anthemis arvensis,Anth.arv,1,2
Arabidopsis sp.,Arab.sp.,1,2
Astrantia major,Astr.maj,1,2
Avenella flexuosa,Aven.fle,1,2
Bunias orientalis,Buni.ori,1,2
Campanula cervicaria,Camp.cer,1,2
Carduus nutans,Card.nut,1,2
Carex leporina,Care.lep,1,2
Carex pilulifera,Care.pil,1,2
Centaurea stoebe,Cent.sto,1,2
Cerastium brachypetalum subsp. brachypetalum,Cera.bra,1,2
Clinopodium acinos,Clin.aci,1,2
Clinopodium vulgare,Clin.vul,1,2
Corylus avellana,Cory.ave,1,2
Draba verna,Drab.ver,1,2
Erigeron acris,Erig.acr,1,2
Eryngium campestre,Eryn.cam,1,2
Ferulago sylvatica,Feru.syl,1,2
Gladiolus imbricatus,Glad.imb,1,2
Heracleum sphondylium,Hera.sph,1,2
Hieracium lachenalii,Hier.lac,1,2
Inula hirta,Inul.hir,1,2
Lipandra polysperma,Lipa.pol,1,2
Nardus stricta,Nard.str,1,2
Neotinea ustulata,Neot.ust,1,2
Neottia ovata,Neot.ova,1,2
Origanum vulgare,Orig.vul,1,2
Phleum pratense,Phle.pra,1,2
Podospermum purpureum,Podo.pur,1,2
Pteridium aquilinum,Pter.aqu,1,2
Ranunculus repens,Ranu.rep,1,2
Sagina procumbens,Sagi.pro,1,2
Scleranthus annuus,Scle.ann,1,2
Stachys germanica,Stac.ger,1,2
Symphytum officinale,Symp.off,1,2
Teucrium montanum,Teuc.mon,1,2
Trifolium pannonicum,Trif.pan,1,2
Vicia grandiflora,Vici.gra,1,2
Vincetoxicum hirundinaria,Vinc.hir,1,2
